seed,year,strategy,n_hours,total_cost_eur,electricity_cost_eur,carbon_cost_eur,delivered_mass_kg,co2_t,reported_total_eur,relative_total_error_pct
42,2023,horizon,8760,337516354.12310183,828563.434110539,336687790.6889913,1521500400.0,4208597.383612392,337516354.1231019,-1.7659779755042952e-14
42,2024,horizon,8784,335832066.55802166,702591.3396807755,335129475.2183409,1513324800.0,4189118.4402292613,335832066.55802166,0.0
42,2025,horizon,8616,328262496.69670916,604370.2503541854,327658126.4463549,1481940000.0,4095726.5805794364,328262496.69670916,0.0
53,2021,horizon,8760,334927484.205464,694526.0699327668,334232958.1355313,1508673600.0,4177911.9766941415,334927484.20546407,-1.7796283549792425e-14
53,2022,horizon,8760,337431840.5876472,1837623.9219112531,335594216.66573596,1517310000.0,4194927.7083217,337431840.5876472,0.0
53,2023,horizon,8760,337812982.3678578,892660.8910066136,336920321.4768512,1521612000.0,4211504.01846064,337812982.3678578,0.0
53,2024,horizon,8784,335752843.93517166,672622.3100641957,335080221.6251075,1513191600.0,4188502.770313843,335752843.93517166,0.0
53,2025,horizon,8616,328498843.4503817,631100.0209753785,327867743.4294063,1482040800.0,4098346.7928675786,328498843.4503817,0.0
0,2021,lagged,8760,334634931.2878572,696530.6214524903,333938400.66640466,1508673600.0,4174230.008330059,334634931.2878572,0.0
0,2022,lagged,8760,337519642.51813066,1843751.352163244,335675891.16596746,1517378400.0,4195948.639574593,337519642.51813066,0.0
0,2023,lagged,8760,337626920.0601331,873650.1557159172,336753269.9044172,1521511200.0,4209415.873805216,337626920.0601331,0.0
0,2024,lagged,8784,335623832.4904964,690605.3074307867,334933227.1830656,1513090800.0,4186665.3397883195,335623832.4904964,0.0
0,2025,lagged,8616,328394933.9146854,624737.2570529517,327770196.65763247,1482174000.0,4097127.4582204064,328394933.9146854,0.0
1,2021,lagged,8760,334232810.51201236,698788.1373978575,333534022.3746145,1508673600.0,4169175.279682681,334232810.5120123,1.7833271570221393e-14
1,2022,lagged,8760,337261960.4372002,1862358.4244982298,335399602.012702,1517310000.0,4192495.025158775,337261960.43720025,-1.7673100369257115e-14
1,2023,lagged,8760,337544537.37948054,866998.4238926403,336677538.95558786,1521594000.0,4208469.236944849,337544537.37948054,0.0
1,2024,lagged,8784,335496563.425293,691610.0118216523,334804953.4134714,1513076400.0,4185061.917668393,335496563.425293,0.0
1,2025,lagged,8616,328470797.30536604,630411.9395921107,327840385.3657739,1482184800.0,4098004.8170721736,328470797.305366,1.8146101651763764e-14
7,2021,lagged,8760,334389028.67024064,698574.3439926323,333690454.326248,1508673600.0,4171130.6790781002,334389028.67024064,0.0
7,2022,lagged,8760,337335600.2352748,1861825.5451142848,335473774.6901605,1517310000.0,4193422.183627007,337335600.23527485,-1.7669242360966155e-14
7,2023,lagged,8760,337614354.3828373,872980.6003738922,336741373.78246343,1521550800.0,4209267.172280793,337614354.38283736,-1.7654653601547408e-14
7,2024,lagged,8784,335456513.24931365,694348.599285092,334762164.6500286,1513252800.0,4184527.058125357,335456513.24931365,0.0
7,2025,lagged,8616,328163776.00104845,628440.1148077822,327535335.8862407,1482051600.0,4094191.6985780094,328163776.0010485,-1.816307866203983e-14
13,2021,lagged,8760,334584262.84062594,700523.9841828835,333883738.85644305,1508673600.0,4173546.735705538,334584262.84062594,0.0
13,2022,lagged,8760,337562598.564024,1857970.7834117229,335704627.7806123,1517364000.0,4196307.847257653,337562598.56402403,-1.765736045075671e-14
13,2023,lagged,8760,337418801.1009986,867582.3827927341,336551218.7182058,1521489600.0,4206890.233977573,337418801.1009986,0.0
13,2024,lagged,8784,336028676.2949746,690681.5021080982,335337994.79286647,1513260000.0,4191724.934910831,336028676.2949746,0.0
13,2025,lagged,8616,328438877.5173968,626199.8415088335,327812677.67588794,1482102000.0,4097658.4709485997,328438877.5173968,0.0
19,2021,lagged,8760,334632751.3943428,692993.7978071399,333939757.5965356,1508673600.0,4174246.969956695,334632751.3943428,0.0
19,2022,lagged,8760,337611983.6144939,1854682.9940276386,335757300.62046623,1517310000.0,4196966.257755827,337611983.6144939,0.0
19,2023,lagged,8760,337015696.990937,867459.2757840408,336148237.7151529,1521594000.0,4201852.971439412,337015696.990937,0.0
19,2024,lagged,8784,334825809.00580454,691333.2025001491,334134475.8033044,1513209600.0,4176680.9475413053,334825809.00580454,0.0
19,2025,lagged,8616,328450760.54983383,633157.6364805738,327817602.9133533,1482141600.0,4097720.036416916,328450760.5498339,-1.814720863352885e-14
23,2021,lagged,8760,334654596.15128624,691223.9292950078,333963372.2219912,1508673600.0,4174542.1527748904,334654596.15128624,0.0
23,2022,lagged,8760,337687839.2258882,1852520.546434463,335835318.67945373,1517288400.0,4197941.483493172,337687839.2258882,0.0
23,2023,lagged,8760,337270015.02887595,872960.5396377939,336397054.48923814,1521568800.0,4204963.181115477,337270015.0288759,1.767267830503328e-14
23,2024,lagged,8784,335217423.39162886,696445.2632111675,334520978.1284177,1513256400.0,4181512.2266052216,335217423.39162886,0.0
23,2025,lagged,8616,328238897.6962595,621190.5826703599,327617707.11358917,1482040800.0,4095221.338919864,328238897.6962595,0.0
31,2021,lagged,8760,334495414.3427834,695141.6116505407,333800272.73113286,1508673600.0,4172503.4091391615,334495414.34278345,-1.781927112289471e-14
31,2022,lagged,8760,337620354.36114705,1851191.1616093563,335769163.1995377,1517292000.0,4197114.539994221,337620354.36114705,0.0
31,2023,lagged,8760,337803249.5971242,864304.409228709,336938945.18789554,1521612000.0,4211736.814848694,337803249.5971242,0.0
31,2024,lagged,8784,336135725.119393,685767.1277076644,335449957.9916853,1513310400.0,4193124.4748960664,336135725.11939293,1.7732314752982442e-14
31,2025,lagged,8616,328238782.91393703,630511.9907469071,327608270.9231901,1481968800.0,4095103.3865398765,328238782.91393703,0.0
37,2021,lagged,8760,334712973.7304882,696242.4520638539,334016731.27842426,1508673600.0,4175209.140980304,334712973.7304881,1.7807688812022106e-14
37,2022,lagged,8760,337692605.5835576,1843956.6286284435,335848648.9549291,1517364000.0,4198108.111936614,337692605.5835576,0.0
37,2023,lagged,8760,337419861.03359234,872273.8198044582,336547587.21378785,1521525600.0,4206844.840172349,337419861.03359234,0.0
37,2024,lagged,8784,335766471.5079307,692881.0290763993,335073590.4788543,1513090800.0,4188419.8809856786,335766471.5079307,0.0
37,2025,lagged,8616,328183113.3611393,628573.5695218104,327554539.7916175,1482202800.0,4094431.7473952193,328183113.3611393,0.0
42,2021,lagged,8760,334605779.8806932,693916.4775707785,333911863.4031224,1508673600.0,4173898.2925390303,334605779.8806932,0.0
42,2022,lagged,8760,337780737.7556725,1846123.3940736277,335934614.3615989,1517378400.0,4199182.679519987,337780737.7556725,0.0
42,2023,lagged,8760,337566301.7100024,876522.332912656,336689779.3770898,1521511200.0,4208622.242213622,337566301.7100024,0.0
42,2024,lagged,8784,335814060.8955997,684564.6347042453,335129496.2608955,1513324800.0,4189118.703261194,335814060.8955997,0.0
42,2025,lagged,8616,328288931.82084584,630885.5521645992,327658046.2686813,1481940000.0,4095725.578358516,328288931.8208459,-1.815615422816573e-14
53,2021,lagged,8760,334925740.7989416,692780.3983739673,334232960.4005676,1508673600.0,4177912.005007095,334925740.79894155,1.7796376185720447e-14
53,2022,lagged,8760,337456540.681934,1862299.875085362,335594240.80684865,1517310000.0,4194928.010085608,337456540.681934,0.0
53,2023,lagged,8760,337779477.48890233,866340.2135291642,336913137.2753732,1521579600.0,4211414.215942165,337779477.48890233,0.0
53,2024,lagged,8784,335781517.0564591,694213.1703914343,335087303.8860677,1513224000.0,4188591.2985758465,335781517.0564591,0.0
53,2025,lagged,8616,328495189.9037365,627614.666712527,327867575.2370239,1482040800.0,4098344.690462799,328495189.9037365,0.0
