seed,year,strategy,n_hours,total_cost_eur,electricity_cost_eur,carbon_cost_eur,delivered_mass_kg,co2_t,reported_total_eur,relative_total_error_pct
31,2021,lagged,8760,340526610.219472,718084.2617460572,339808525.9577259,1535893200.0,4247606.574471574,340526610.219472,0.0
31,2022,lagged,8760,339330274.8663997,1922121.3362828568,337408153.5301168,1524628800.0,4217601.91912646,339330274.86639965,1.756537780157047e-14
31,2023,lagged,8760,335513397.5713414,875669.3685016078,334637728.20283973,1511168400.0,4182971.6025354974,335513397.5713414,0.0
31,2024,lagged,8784,329447764.9057298,680566.212975145,328767198.6927546,1483149600.0,4109589.9836594323,329447764.9057298,0.0
31,2025,lagged,8616,329690382.6794187,649292.1580314061,329041090.52138734,1488380400.0,4113013.6315173414,329690382.6794187,0.0
37,2021,lagged,8760,340792422.491194,717584.275077265,340074838.2161167,1535943600.0,4250935.477701459,340792422.491194,0.0
37,2022,lagged,8760,339238163.509109,1914688.9564777762,337323474.55263126,1524139200.0,4216543.431907891,339238163.5091091,-1.7570147226018144e-14
37,2023,lagged,8760,335145951.9118867,883795.430878134,334262156.4810085,1511107200.0,4178276.956012607,335145951.9118867,0.0
37,2024,lagged,8784,329125657.4758543,688887.3426626825,328436770.1331916,1483275600.0,4105459.6266648946,329125657.4758543,0.0
37,2025,lagged,8616,329672910.6535921,646246.7162714617,329026663.9373206,1488801600.0,4112833.299216508,329672910.6535921,0.0
42,2021,lagged,8760,340681851.40903187,717432.0593830753,339964419.34964883,1535965200.0,4249555.24187061,340681851.40903187,0.0
42,2022,lagged,8760,339482714.7249615,1918835.9289051662,337563878.79605633,1524614400.0,4219548.4849507045,339482714.7249615,0.0
42,2023,lagged,8760,335284396.97672683,891173.2084087438,334393223.76831806,1511186400.0,4179915.297103976,335284396.97672683,0.0
42,2024,lagged,8784,329123285.34543717,680655.2861915373,328442630.05924565,1483038000.0,4105532.8757405705,329123285.34543717,0.0
42,2025,lagged,8616,329726172.0194191,650550.7282936205,329075621.2911255,1488387600.0,4113445.2661390686,329726172.0194191,0.0
53,2021,lagged,8760,340988092.078272,718608.8940378805,340269483.1842341,1535914800.0,4253368.539802926,340988092.078272,0.0
53,2022,lagged,8760,339080422.7572218,1933907.8317046477,337146514.9255172,1524250800.0,4214331.436568964,339080422.7572218,0.0
53,2023,lagged,8760,335413221.0664904,875703.4014847195,334537517.6650057,1510887600.0,4181718.9708125717,335413221.0664904,0.0
53,2024,lagged,8784,329216447.23077875,690881.4319544953,328525565.79882425,1483563600.0,4106569.5724853035,329216447.23077875,0.0
53,2025,lagged,8616,330000121.3853854,643726.505672202,329356394.8797132,1488726000.0,4116954.9359964146,330000121.38538533,1.8062006924470884e-14
